학번      이름      국어      영어      수학      평균      
2016001   김선욱    100.00    100.00    100.00    100.00    
2016002   김재희    90.00     88.00     100.00    92.67     
2016003   홍길동    54.00     79.00     82.00     71.67     
2016004   이순신    80.00     66.00     90.00     78.67     
2016005   장발장    58.00     100.00    80.00     79.33     
2017001   스티브잡스80.00     80.00     70.00     76.67     
2017002   빌게이츠  90.00     90.00     90.00     90.00     
2017003   뉴턴      60.00     90.00     100.00    83.33     
2017004   베르누이  100.00    100.00    89.00     96.33     
2017005   누셀      40.00     100.00    100.00    80.00     
